name,kind,latitude,longitude,operator,beds,emergency,speciality
"LabAid Limited (Diagnostic), Hospital, Doyagonj New Rd, Dhaka",hospital,23.7103860932763,90.4245386816723,,,,
AKS Pharmacy,pharmacy,23.7963021933664,90.3874875683412,,,,
Mim Medicine,pharmacy,23.786399226224,90.4107620179783,,,,
Aziz Pharmacy,pharmacy,24.1275132649059,89.0708600618643,,,,
Chittagong diabetic and general Hospital,hospital,22.3617824643827,91.8024560890775,,,yes,
সিটি ডিজিটাল ডায়াগনস্টিক এন্ড কনসালটেশন সেন্টার,hospital,23.9927310884094,90.3217153608719,,,,
তেওয়ারীগঞ্জ হাসপাতাল,hospital,22.875318118676,90.8907322571942,,,,
"EPCS & Medicine, Halishahor, Chattogram",pharmacy,22.3334336943835,91.7892162862818,,,,
Mirpur Dental Hijama Point,dentist,23.8084624908525,90.3608890235436,,,,
"Baghoir janata pharmacy, Baghoir, high, School Rd, Dhaka",pharmacy,23.6642529363996,90.3878944259213,,,,
Agailjhara Upazila Health Complex,hospital,22.9636165232861,90.1825250576774,,,,
Zenith Medical Services,clinic,23.7697567898349,90.3669871933785,,,,
M/S Ashik Pharmacy,pharmacy,23.7596493880741,90.363988064604,,,,
Madina Pharmacy,pharmacy,22.8127945692387,89.5571514295395,Private,,,
"Saiful Niketan, Pharmacy",pharmacy,24.7341092506402,90.3878332380281,,,,
Fatema Homoeo Pharmacy,pharmacy,24.5597689335734,89.5014328958316,,,,
Abadi Dental Clinic(আবাদী ডেন্টাল ক্লিনিক),dentist,23.8168666898885,90.3740918621464,,,,
নাঙলকোট উপজেলা স্বাস্থ্য কমপ্লেক্স,hospital,23.17157942001,91.1989326575895,,,,
Chadpur pharmacy,pharmacy,23.8286894481337,90.3788206804598,,,,
Shaheed M. Munsur Ali Medical College & Hospital,hospital,24.4486148392088,89.6728395467878,,,,
"Nirapad General Hospital and Diagnostic Center, Hospital",hospital,25.0195263809244,90.018460367168,,,,
Navy Hospital Gate নেভি হাসপাতালের গেট,hospital,22.2830265212596,91.7849172919631,,,,
Mirpur general hospital,hospital,23.8207663703399,90.3672989163575,,,,
Abedin Hospital (Pvt.),hospital,24.0557714659964,90.9747935259311,,,,
Prity Pharmacy,pharmacy,23.7452505357075,90.4264437206256,,,,
"Hasina Medical Hall, Pharmacy",pharmacy,23.9175015795893,90.3922370899555,,,,
Sultan Medicine Center,pharmacy,23.7216645307295,90.4057498913376,,,,
Sunrise Diagonestic Center,clinic,23.168019122818,89.2100373731089,,,,
Josna Pharmacy,pharmacy,23.8521777201207,90.4119074888659,,,,
SK Hospital,hospital,24.7520521393067,90.4167954795207,,,,
"Subeccha Hospital, Rajshahi - Dhaka Hwy, Natore",hospital,24.4062755831655,88.9561831374149,,,,
Horihorpur Community Clinic,clinic,25.581808837142,88.6414610296174,,,,
Haji Pharmcy(হাজী ফার্মেসি),pharmacy,23.819239858134,90.3759874295491,,,,
Parents Pharmacy,pharmacy,23.7201432991225,90.4302193489101,,,,
